26506,,,,,,,,,,,,,,,,,,
,,0-25,26-50,51-75,76-100,101-125,126-150,151-175,176-200,201-225,226-250,251-275,276-300,301-325,326-350,351-360,,
45.390625,135.25,,,,,,,,,,,,,,,,,
348.96875,162.25,,,,,,,,,,,,,,,,,
102.203125,165.25,,,,,,,,,,,,,,,,,
103.453125,168.25,,,,,,,,,,,,,,,,,
104.734375,171.25,,,,,,,,,,,,,,,,,
106,174.25,,,,,,,,,,,,,,,,,
107.28125,177.25,,,,,,,,,,,,,,,,,
108.53125,181.25,,,,,,,,,,,,,,,,,
109.8125,184.25,,,,,,,,,,,,,,,,,
111.40625,179.25,,,,,,,,,,,,,,,,,
112.25,194.5,,,,,,,,,,,,,,,,,
112.109375,256.5,,,,,,,,,,,,,,,,,
115.328125,186.5,,,,,,,,,,,,,,,,,
116.8125,184.25,,,,,,,,,,,,,,,,,
118.328125,181.25,,,,,,,,,,,,,,,,,
119.890625,177.25,,,,,,,,,,,,,,,,,
121.40625,174.25,,,,,,,,,,,,,,,,,
122.9375,171.25,,,,,,,,,,,,,,,,,
124.453125,168.25,,,,,,,,,,,,,,,,,
126,165.25,,,,,,,,,,,,,,,,,
127.484375,163.25,,,,,,,,,,,,,,,,,
128.984375,161.25,,,,,,,,,,,,,,,,,
130.484375,159.25,,,,,,,,,,,,,,,,,
131.96875,157.25,,,,,,,,,,,,,,,,,
133.46875,155.25,,,,,,,,,,,,,,,,,
134.921875,154.25,,,,,,,,,,,,,,,,,
136.359375,153.25,,,,,,,,,,,,,,,,,
137.875,151.25,,,,,,,,,,,,,,,,,
139.34375,150.25,,,,,,,,,,,,,,,,,
140.78125,149.25,,,,,,,,,,,,,,,,,
142.265625,148,,,,,,,,,,,,,,,,,
143.703125,147.25,,,,,,,,,,,,,,,,,
145.109375,147.25,,,,,,,,,,,,,,,,,
146.5625,146.25,,,,,,,,,,,,,,,,,
148.015625,145.25,,,,,,,,,,,,,,,,,
149.421875,145.25,,,,,,,,,,,,,,,,,
150.828125,145,,,,,,,,,,,,,,,,,
152.21875,145.25,,,,,,,,,,,,,,,,,
153.6875,144.25,,,,,,,,,,,,,,,,,
155.078125,144.25,,,,,,,,,,,,,,,,,
156.484375,144.25,,,,,,,,,,,,,,,,,
